First Name,Middle Name,Last Name,Position,Status,League
Jergus,,Baca,D,inactive,nhl
Jason,,Bacashihua,G,inactive,nhl
Ryan,,Bach,G,inactive,nhl
Richard,,Bachman,G,active,nhl
David,,Backes,C,active,nhl
Johan,,Backlund,G,inactive,nhl
Mikael,,Backlund,C,active,nhl
Christian,,Backman,D,inactive,nhl
Mike,,Backman,RW,inactive,nhl
Pete,,Backor,D,inactive,nhl
Nicklas,,Backstrom,C,active,nhl
Niklas,,Backstrom,G,active,nhl
Ralph,,Backstrom,C,inactive,nhl
Sven,,Baertschi,LW,active,nhl
Drew,,Bagnall,D,inactive,nhl
Ace,,Bailey,RW,inactive,nhl
Ace,,Bailey,LW,inactive,nhl
Bob,,Bailey,RW,inactive,nhl
Casey,,Bailey,RW,inactive,nhl
Josh,,Bailey,C,active,nhl
Justin,,Bailey,RW,active,nhl
Reid,,Bailey,D,inactive,nhl
Scott,,Bailey,G,inactive,nhl
Joel,,Baillargeon,LW,inactive,nhl
Ken,,Baird,D,inactive,nhl
Bill,,Baker,D,inactive,nhl
Jamie,,Baker,C,inactive,nhl
Steve,,Baker,G,inactive,nhl
Peter,,Bakovic,RW,inactive,nhl
Chris,,Bala,LW,inactive,nhl
Jaroslav,,Balastik,RW,inactive,nhl
Helmut,,Balderis,RW,inactive,nhl
Doug,,Baldwin,D,inactive,nhl
Jozef,,Balej,RW,inactive,nhl
Mike,,Bales,G,inactive,nhl
Earl,,Balfour,LW,inactive,nhl
Murray,,Balfour,RW,inactive,nhl
Terry,,Ball,D,inactive,nhl
Keith,,Ballard,D,inactive,nhl
Maxim,,Balmochnykh,LW,inactive,nhl
Dave,,Balon,LW,inactive,nhl
Bryon,,Baltimore,D,inactive,nhl
Stan,,Baluik,C,inactive,nhl
Carter,,Bancks,C,inactive,nhl
Steve,,Bancroft,D,inactive,nhl
Jeff,,Bandura,D,inactive,nhl
Daniel,,Bang,W,inactive,nhl
Frank,,Banham,RW,inactive,nhl
Darren,,Banks,LW,inactive,nhl
Murray,,Bannerman,G,inactive,nhl
Drew,,Bannister,D,inactive,nhl
Ralph,,Barahona,C,inactive,nhl
Ivan,,Baranka,D,inactive,nhl
Andy,,Barbe,RW,inactive,nhl
Bill,,Barber,LW,inactive,nhl
Don,,Barber,W,inactive,nhl
Mark,,Barberio,D,active,nhl
Krys,,Barch,RW,inactive,nhl
Bill,,Barilko,D,inactive,nhl
Michal,,Barinka,D,inactive,nhl
Cam,,Barker,D,inactive,nhl
Doug,,Barkley,D,inactive,nhl
Aleksander,,Barkov,C,active,nhl
Bob,,Barlow,LW,inactive,nhl
Matthew,,Barnaby,RW,inactive,nhl
Blair,,Barnes,RW,inactive,nhl
Norm,,Barnes,D,inactive,nhl
Ryan,,Barnes,LW,inactive,nhl
Stu,,Barnes,C,inactive,nhl
Scott,,Barney,C,inactive,nhl
Marco,,Baron,G,inactive,nhl
Murray,,Baron,D,inactive,nhl
Normand,,Baron,LW,inactive,nhl
Dave,,Barr,RW,inactive,nhl
Tom,,Barrasso,G,inactive,nhl
Doug,,Barrault,RW,inactive,nhl
Fred,,Barrett,D,inactive,nhl
John,,Barrett,D,inactive,nhl
Doug,,Barrie,D,inactive,nhl
Len,,Barrie,C,inactive,nhl
Tyson,,Barrie,D,active,nhl
Ed,,Barry,LW,inactive,nhl
Marty,,Barry,C,inactive,nhl
Ray,,Barry,C,inactive,nhl
Lubos,,Bartecko,LW,inactive,nhl
Robin,,Bartel,D,inactive,nhl
Matt,,Bartkowski,D,active,nhl
Jim,,Bartlett,LW,inactive,nhl
Victor,,Bartley,D,active,nhl
Cliff,,Barton,RW,inactive,nhl
Peter,,Bartos,LW,inactive,nhl
Milan,,Bartovic,RW,inactive,nhl
Oskars,,Bartulis,D,inactive,nhl
Andrei,,Bashkirov,LW,inactive,nhl
Cody,,Bass,C,active,nhl
Bob,,Bassen,C,inactive,nhl
Hank,,Bassen,G,inactive,nhl
Ryan,,Bast,D,inactive,nhl
Baz,,Bastien,G,inactive,nhl
Shawn,,Bates,C,inactive,nhl
Frank,,Bathe,D,inactive,nhl
Andy,,Bathgate,RW,inactive,nhl
Frank,,Bathgate,C,inactive,nhl
Bates,,Battaglia,LW,inactive,nhl
Jeff,,Batters,D,inactive,nhl
Ruslan,,Batyrshin,D,inactive,nhl
Bobby,,Bauer,RW,inactive,nhl
Garry,,Bauman,G,inactive,nhl
Ken,,Baumgartner,LW,inactive,nhl
Mike,,Baumgartner,D,inactive,nhl
Nolan,,Baumgartner,D,inactive,nhl
Bob,,Baun,D,inactive,nhl
Kyle,,Baun,RW,active,nhl
Sergei,,Bautin,D,inactive,nhl
Robin,,Bawa,RW,inactive,nhl
Paul,,Baxter,D,inactive,nhl
Ryan,,Bayda,LW,inactive,nhl
Sandy,,Beadle,LW,inactive,nhl
Jay,,Beagle,RW,active,nhl
Frank,,Beaton,LW,inactive,nhl
Red,,Beattie,LW,inactive,nhl
Francois,,Beauchemin,D,active,nhl
Norm,,Beaudin,RW,inactive,nhl
Eric,,Beaudoin,LW,inactive,nhl
Serge,,Beaudoin,D,inactive,nhl
Yves,,Beaudoin,D,inactive,nhl
Mark,,Beaufait,C,inactive,nhl
Nathan,,Beaulieu,D,active,nhl
Don,,Beaupre,G,inactive,nhl
Stephane,,Beauregard,G,inactive,nhl
Barry,,Beck,D,inactive,nhl
Taylor,,Beck,RW,active,nhl
Bob,,Beckett,C,inactive,nhl
Chris,,Beckford-Tseu,G,inactive,nhl
James,,Bedard,D,inactive,nhl
Jim,,Bedard,G,inactive,nhl
Clayton,,Beddoes,C,inactive,nhl
Jaroslav,,Bednar,RW,inactive,nhl
John,,Bednarski,D,inactive,nhl
Kris,,Beech,C,inactive,nhl
Bob,,Beers,D,inactive,nhl
Eddy,,Beers,LW,inactive,nhl
Steve,,Begin,C,inactive,nhl
Dick,,Behling,D,inactive,nhl
Marc,,Behrend,G,inactive,nhl
Frank,,Beisler,D,inactive,nhl
Derek,,Bekar,LW,inactive,nhl
Wade,,Belak,RW,inactive,nhl
Alain,,Belanger,RW,inactive,nhl
Eric,,Belanger,C,inactive,nhl
Francis,,Belanger,LW,inactive,nhl
Jesse,,Belanger,C,inactive,nhl
Ken,,Belanger,LW,inactive,nhl
Roger,,Belanger,C,inactive,nhl
Yves,,Belanger,G,inactive,nhl
Matt,,Beleskey,LW,active,nhl
Ed,,Belfour,G,inactive,nhl
Michel,,Belhumeur,G,inactive,nhl
Danny,,Belisle,RW,inactive,nhl
Jean,,Beliveau,C,inactive,nhl
Billy,,Bell,C/RW,inactive,nhl
Brendan,,Bell,D,inactive,nhl
Bruce,,Bell,D,inactive,nhl
Gordie,,Bell,G,inactive,nhl
Huddy,,Bell,RW/D,inactive,nhl
Joe,,Bell,LW,inactive,nhl
Mark,,Bell,C,inactive,nhl
Neil,,Belland,D,inactive,nhl
Shawn,,Belle,D,inactive,nhl
Blake,,Bellefeuille,C,inactive,nhl
Pete,,Bellefeuille,RW,inactive,nhl
Pierre-Edouard,,Bellemare,LW,active,nhl
Andy,,Bellemer,D,inactive,nhl
Brett,,Bellemore,D,inactive,nhl
Brian,,Bellows,LW,inactive,nhl
Anton,,Belov,D,inactive,nhl
Lin,,Bend,C,inactive,nhl
Jan,,Benda,C,inactive,nhl
Clint,,Benedict,G,inactive,nhl
Jamie,,Benn,LW,active,nhl
Jordie,,Benn,D,active,nhl
Adam,,Bennett,D,inactive,nhl
Beau,,Bennett,RW,active,nhl
Bill,,Bennett,LW,inactive,nhl
Curt,,Bennett,LW,inactive,nhl
Frank,,Bennett,LW/D,inactive,nhl
Harvey,,Bennett,G,inactive,nhl
Harvey,,Bennett,C,inactive,nhl
Max,,Bennett,RW,inactive,nhl
Rick,,Bennett,LW,inactive,nhl
Sam,,Bennett,C,active,nhl
Brian,,Benning,D,inactive,nhl
Jim,,Benning,D,inactive,nhl
Andre,,Benoit,D,active,nhl
Joe,,Benoit,RW,inactive,nhl
Bill,,Benson,C,inactive,nhl
Bobby,,Benson,D,inactive,nhl
Sean,,Bentivoglio,LW,inactive,nhl
Doug,,Bentley,LW,inactive,nhl
Max,,Bentley,C,inactive,nhl
Reg,,Bentley,LW,inactive,nhl
Ladislav,,Benysek,D,inactive,nhl
Paul,,Beraldo,RW,inactive,nhl
Josef,,Beranek,LW/C,inactive,nhl
Bryan,,Berard,D,inactive,nhl
Drake,,Berehowsky,D,inactive,nhl
Red,,Berenson,C,inactive,nhl
Bubba,,Berenzweig,D,inactive,nhl
Perry,,Berezan,C,inactive,nhl
Sergei,,Berezin,LW,inactive,nhl
Aki,,Berg,D,inactive,nhl
Bill,,Berg,LW,inactive,nhl
Fred,,Bergdinon,RW,inactive,nhl
Todd,,Bergen,C,inactive,nhl
Sean,,Bergenheim,LW,inactive,nhl
Mike,,Berger,D,inactive,nhl
Jean-Claude,,Bergeron,G,inactive,nhl
Marc-Andre,,Bergeron,D,inactive,nhl
Michel,,Bergeron,RW,inactive,nhl
Patrice,,Bergeron,C,active,nhl
Yves,,Bergeron,RW,inactive,nhl
Marc,,Bergevin,D,inactive,nhl
Niclas,,Bergfors,RW,inactive,nhl
Stefan,,Bergkvist,D,inactive,nhl
Tim,,Bergland,RW,inactive,nhl
Bob,,Bergloff,D,inactive,nhl
Bo,,Berglund,RW,inactive,nhl
Christian,,Berglund,LW,inactive,nhl
Patrik,,Berglund,C,active,nhl
Gary,,Bergman,D,inactive,nhl
Thommie,,Bergman,D,inactive,nhl
Jonas,,Bergqvist,RW,inactive,nhl
Adam,,Berkhoel,G,inactive,nhl
Louis,,Berlinguette,LW,inactive,nhl
Tim,,Bernhardt,G,inactive,nhl
Jonathan,,Bernier,G,active,nhl
Serge,,Bernier,RW,inactive,nhl
Steve,,Bernier,RW,active,nhl
Reto,,Berra,G,active,nhl
Bob,,Berry,LW,inactive,nhl
Brad,,Berry,D,inactive,nhl
Doug,,Berry,C,inactive,nhl
Fred,,Berry,C,inactive,nhl
Ken,,Berry,LW,inactive,nhl
Rick,,Berry,D,inactive,nhl
Daniel,,Berthiaume,G,inactive,nhl
Adam,,Berti,LW,inactive,nhl
Eric,,Bertrand,LW,inactive,nhl
Christoph,,Bertschy,C,active,nhl
Todd,,Bertuzzi,RW,inactive,nhl
Craig,,Berube,LW,inactive,nhl
Jean-Francois,,Berube,G,active,nhl
Phil,,Besler,RW,inactive,nhl
Pete,,Bessone,D,inactive,nhl
Allan,,Bester,G,inactive,nhl
John,,Bethel,LW,inactive,nhl
Karel,,Betik,D,inactive,nhl
Maxim,,Bets,LW,inactive,nhl
Sam,,Bettio,LW,inactive,nhl
Blair,,Betts,C,inactive,nhl
Jeff,,Beukeboom,D,inactive,nhl
Bill,,Beveridge,G,inactive,nhl
Nick,,Beverley,D,inactive,nhl
Goran,,Bezina,D,inactive,nhl
Dwight,,Bialowas,D,inactive,nhl
Frank,,Bialowas,LW,inactive,nhl
Wayne,,Bianchin,LW,inactive,nhl
Paul,,Bibeault,G,inactive,nhl
Radim,,Bicanek,D,inactive,nhl
Jiri,,Bicek,RW,inactive,nhl
Stu,,Bickel,D,inactive,nhl
Bryan,,Bickell,LW,active,nhl
Todd,,Bidner,LW,inactive,nhl
Alex,,Biega,D,active,nhl
Danny,,Biega,D,inactive,nhl
Kevin,,Bieksa,D,active,nhl
Zac,,Bierk,G,inactive,nhl
Don,,Biggs,C,inactive,nhl
Larry,,Bignell,D,inactive,nhl
Chris,,Bigras,D,active,nhl
Craig,,Billington,G,inactive,nhl
Chad,,Billins,D,inactive,nhl
Gilles,,Bilodeau,LW,inactive,nhl
Andre,,Binette,G,inactive,nhl
Les,,Binkley,G,inactive,nhl
Jordan,,Binnington,G,active,nhl
Jack,,Bionda,D,inactive,nhl
Martin,,Biron,G,inactive,nhl
Mathieu,,Biron,D,inactive,nhl
Sebastien,,Bisaillon,D,inactive,nhl
Mike,,Bishai,C,inactive,nhl
Ben,,Bishop,G,active,nhl
Tom,,Bissett,C,inactive,nhl
Paul,,Bissonnette,LW,inactive,nhl
Anthony,,Bitetto,D,active,nhl
Richard,,Bittner,G,inactive,nhl
Byron,,Bitz,RW,inactive,nhl
Oliver,,Bjorkstrand,RW,active,nhl
Nick,,Bjugstad,C,active,nhl
Scott,,Bjugstad,RW,inactive,nhl
James,,Black,LW,inactive,nhl
Steve,,Black,LW,inactive,nhl
Bob,,Blackburn,D,inactive,nhl
Dan,,Blackburn,G,inactive,nhl
Don,,Blackburn,LW,inactive,nhl
Jesse,,Blacker,D,inactive,nhl
Hank,,Blade,LW,inactive,nhl
Tom,,Bladon,D,inactive,nhl
Garry,,Blaine,RW,inactive,nhl
Andy,,Blair,C,inactive,nhl
Chuck,,Blair,RW,inactive,nhl
Dusty,,Blair,C,inactive,nhl
Mike,,Blaisdell,RW,inactive,nhl
Bob,,Blake,LW,inactive,nhl
Jason,,Blake,LW,inactive,nhl
Mickey,,Blake,LW/D,inactive,nhl
Mike,,Blake,G,inactive,nhl
Rob,,Blake,D,inactive,nhl
Toe,,Blake,LW,inactive,nhl
Nicolas,,Blanchard,LW,inactive,nhl
Joseph,,Blandisi,C,active,nhl
Zdenek,,Blatny,LW,inactive,nhl
Rick,,Blight,RW,inactive,nhl
Russ,,Blinco,C,inactive,nhl
Mario,,Bliznak,C,inactive,nhl
Ken,,Block,D,inactive,nhl
Jeff,,Bloemberg,D,inactive,nhl
Timo,,Blomqvist,D,inactive,nhl
Arto,,Blomsten,D,inactive,nhl
Mike,,Bloom,LW,inactive,nhl
Sylvain,,Blouin,LW,inactive,nhl
John,,Blue,G,inactive,nhl
John,,Blum,D,inactive,nhl
Jonathon,,Blum,D,inactive,nhl
Mike,,Blunden,RW,active,nhl
Sergei,,Bobrovsky,G,active,nhl
Brandon,,Bochenski,RW,inactive,nhl
Bob,,Bodak,LW,inactive,nhl
Gregg,,Boddy,D,inactive,nhl
Doug,,Bodger,D,inactive,nhl
Troy,,Bodie,RW,inactive,nhl
Gus,,Bodnar,C,inactive,nhl
Andrew,,Bodnarchuk,D,active,nhl
Mikkel,,Boedker,RW,active,nhl
Ron,,Boehm,LW,inactive,nhl
Garth,,Boesch,D,inactive,nhl
Zach,,Bogosian,D,active,nhl
Eric,,Boguniecki,C,inactive,nhl
